pH,Antibiotic,Concentration,Strain,ExperimentDate,Incubation,Person,OD,,,,,,,,
5,Levofloxacin,16,K279a,72619,48,ML,1.3499,,,,,,,,
5,Levofloxacin,16,K279a,72619,48,ML,1.3535,,,,,,,,
5,Levofloxacin,16,K279a,72619,48,ML,1.3385,,,,,,,,
7,Levofloxacin,16,K279a,72619,48,ML,1.176,,,,,,,,
7,Levofloxacin,16,K279a,72619,48,ML,1.1274,,,,,,,,
7,Levofloxacin,16,K279a,72619,48,ML,1.0639,,,,,,,,
9,Levofloxacin,16,K279a,72619,48,ML,0.2259,,,,,,,,
9,Levofloxacin,16,K279a,72619,48,ML,0.2308,,,,,,,,
9,Levofloxacin,16,K279a,72619,48,ML,1.5051,,,,,,,,
5,Levofloxacin,8,K279a,72619,48,ML,1.6575,,,,,,,,
5,Levofloxacin,8,K279a,72619,48,ML,1.5509,,,,,,,,
5,Levofloxacin,8,K279a,72619,48,ML,1.5692,,,,,,,,
7,Levofloxacin,8,K279a,72619,48,ML,1.3474,,,,,,,,
7,Levofloxacin,8,K279a,72619,48,ML,1.2104,,,,,,,,
7,Levofloxacin,8,K279a,72619,48,ML,1.1848,,,,,,,,
9,Levofloxacin,8,K279a,72619,48,ML,0.9592,,,,,,,,
9,Levofloxacin,8,K279a,72619,48,ML,1.1433,,,,,,,,
9,Levofloxacin,8,K279a,72619,48,ML,1.6544,,,,,,,,
5,Levofloxacin,4,K279a,72619,48,ML,1.7262,,,,,,,,
5,Levofloxacin,4,K279a,72619,48,ML,1.7189,,,,,,,,
5,Levofloxacin,4,K279a,72619,48,ML,1.7065,,,,,,,,
7,Levofloxacin,4,K279a,72619,48,ML,1.5901,,,,,,,,
7,Levofloxacin,4,K279a,72619,48,ML,1.5845,,,,,,,,
7,Levofloxacin,4,K279a,72619,48,ML,1.5878,,,,,,,,
9,Levofloxacin,4,K279a,72619,48,ML,1.4359,,,,,,,,
9,Levofloxacin,4,K279a,72619,48,ML,1.535,,,,,,,,
9,Levofloxacin,4,K279a,72619,48,ML,1.4887,,,,,,,,
5,Levofloxacin,2,K279a,72619,48,ML,1.7933,,,,,,,,
5,Levofloxacin,2,K279a,72619,48,ML,1.8157,,,,,,,,
5,Levofloxacin,2,K279a,72619,48,ML,1.7837,,,,,,,,
7,Levofloxacin,2,K279a,72619,48,ML,1.6936,,,,,,,,
7,Levofloxacin,2,K279a,72619,48,ML,1.7258,,,,,,,,
7,Levofloxacin,2,K279a,72619,48,ML,1.6924,,,,,,,,
9,Levofloxacin,2,K279a,72619,48,ML,1.6025,,,,,,,,
9,Levofloxacin,2,K279a,72619,48,ML,1.5855,,,,,,,,
9,Levofloxacin,2,K279a,72619,48,ML,1.8026,,,,,,,,
5,Levofloxacin,1,K279a,72619,48,ML,1.7114,,,,,,,,
5,Levofloxacin,1,K279a,72619,48,ML,1.7094,,,,,,,,
5,Levofloxacin,1,K279a,72619,48,ML,1.7657,,,,,,,,
7,Levofloxacin,1,K279a,72619,48,ML,1.6337,,,,,,,,
7,Levofloxacin,1,K279a,72619,48,ML,1.6316,,,,,,,,
7,Levofloxacin,1,K279a,72619,48,ML,1.7533,,,,,,,,
9,Levofloxacin,1,K279a,72619,48,ML,1.6582,,,,,,,,
9,Levofloxacin,1,K279a,72619,48,ML,1.6606,,,,,,,,
9,Levofloxacin,1,K279a,72619,48,ML,1.7378,,,,,,,,
5,Levofloxacin,0,K279a,72619,48,ML,1.7005,,,,,,,,
5,Levofloxacin,0,K279a,72619,48,ML,1.7053,,,,,,,,
5,Levofloxacin,0,K279a,72619,48,ML,1.7775,,,,,,,,
7,Levofloxacin,0,K279a,72619,48,ML,1.7197,,,,,,,,
7,Levofloxacin,0,K279a,72619,48,ML,1.7363,,,,,,,,
7,Levofloxacin,0,K279a,72619,48,ML,1.7144,,,,,,,,
