pH	Antibiotic	Concentration	Strain	ExperimentDate	Incubation	Person	OD	ExperimentDate
5	levofloxacin	16	K279a	72619	48	ML	1.3499	72719
5	levofloxacin	16	K279a	72619	48	ML	1.3535	72719
5	levofloxacin	16	K279a	72619	48	ML	1.3385	72719
7	levofloxacin	16	K279a	72619	48	ML	1.176	72719
7	levofloxacin	16	K279a	72619	48	ML	1.1274	72719
7	levofloxacin	16	K279a	72619	48	ML	1.0639	72719
9	levofloxacin	16	K279a	72619	48	ML	0.2259	72719
9	levofloxacin	16	K279a	72619	48	ML	0.2308	72719
9	levofloxacin	16	K279a	72619	48	ML	1.5051	72719
5	levofloxacin	8	K279a	72619	48	ML	1.6575	72719
5	levofloxacin	8	K279a	72619	48	ML	1.5509	72719
5	levofloxacin	8	K279a	72619	48	ML	1.5692	72719
7	levofloxacin	8	K279a	72619	48	ML	1.3474	72719
7	levofloxacin	8	K279a	72619	48	ML	1.2104	72719
7	levofloxacin	8	K279a	72619	48	ML	1.1848	72719
9	levofloxacin	8	K279a	72619	48	ML	0.9592	72719
9	levofloxacin	8	K279a	72619	48	ML	1.1433	72719
9	levofloxacin	8	K279a	72619	48	ML	1.6544	72719
5	levofloxacin	4	K279a	72619	48	ML	1.7262	72719
5	levofloxacin	4	K279a	72619	48	ML	1.7189	72719
5	levofloxacin	4	K279a	72619	48	ML	1.7065	72719
7	levofloxacin	4	K279a	72619	48	ML	1.5901	72719
7	levofloxacin	4	K279a	72619	48	ML	1.5845	72719
7	levofloxacin	4	K279a	72619	48	ML	1.5878	72719
9	levofloxacin	4	K279a	72619	48	ML	1.4359	72719
9	levofloxacin	4	K279a	72619	48	ML	1.535	72719
9	levofloxacin	4	K279a	72619	48	ML	1.4887	72719
5	levofloxacin	2	K279a	72619	48	ML	1.7933	72719
5	levofloxacin	2	K279a	72619	48	ML	1.8157	72719
5	levofloxacin	2	K279a	72619	48	ML	1.7837	72719
7	levofloxacin	2	K279a	72619	48	ML	1.6936	72719
7	levofloxacin	2	K279a	72619	48	ML	1.7258	72719
7	levofloxacin	2	K279a	72619	48	ML	1.6924	72719
9	levofloxacin	2	K279a	72619	48	ML	1.6025	72719
9	levofloxacin	2	K279a	72619	48	ML	1.5855	72719
9	levofloxacin	2	K279a	72619	48	ML	1.8026	72719
5	levofloxacin	1	K279a	72619	48	ML	1.7114	72719
5	levofloxacin	1	K279a	72619	48	ML	1.7094	72719
5	levofloxacin	1	K279a	72619	48	ML	1.7657	72719
7	levofloxacin	1	K279a	72619	48	ML	1.6337	72719
7	levofloxacin	1	K279a	72619	48	ML	1.6316	72719
7	levofloxacin	1	K279a	72619	48	ML	1.7533	72719
9	levofloxacin	1	K279a	72619	48	ML	1.6582	72719
9	levofloxacin	1	K279a	72619	48	ML	1.6606	72719
9	levofloxacin	1	K279a	72619	48	ML	1.7378	72719
5	levofloxacin	0	K279a	72619	48	ML	1.7005	72719
5	levofloxacin	0	K279a	72619	48	ML	1.7053	72719
5	levofloxacin	0	K279a	72619	48	ML	1.7775	72719
7	levofloxacin	0	K279a	72619	48	ML	1.7197	72719
7	levofloxacin	0	K279a	72619	48	ML	1.7363	72719
7	levofloxacin	0	K279a	72619	48	ML	1.7144	72719
9	levofloxacin	0	K279a	72619	48	ML	1.6182	72719
9	levofloxacin	0	K279a	72619	48	ML	1.6128	72719
9	levofloxacin	0	K279a	72619	48	ML	1.6093	72719
5	levofloxacin	16	K279a	72619	48	EA	1.4128	72719
5	levofloxacin	16	K279a	72619	48	EA	1.3906	72719
5	levofloxacin	16	K279a	72619	48	EA	1.3741	72719
7	levofloxacin	16	K279a	72619	48	EA	0.7724	72719
7	levofloxacin	16	K279a	72619	48	EA	0.7445	72719
7	levofloxacin	16	K279a	72619	48	EA	0.6499	72719
9	levofloxacin	16	K279a	72619	48	EA	0.2292	72719
9	levofloxacin	16	K279a	72619	48	EA	0.2442	72719
