,OD,ConcFormat,pH,Concentration,Person,Strain,Incubation,Antibiotic,Oxygen,ExperimentDate,PredetMIC
0,0.073,MIC8x,pH5,128.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
0,0.097,MIC4x,pH5,64.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
0,0.111,MIC2x,pH5,32.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
0,0.101,MIC1x,pH5,16.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
0,0.130,MIC0.5x,pH5,8.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
0,0.131,MIC0x,pH5,0.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
1,0.073,MIC8x,pH5,128.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
1,0.136,MIC4x,pH5,64.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
1,0.112,MIC2x,pH5,32.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
1,0.094,MIC1x,pH5,16.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
1,0.152,MIC0.5x,pH5,8.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
1,0.161,MIC0x,pH5,0.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
2,0.082,MIC8x,pH5,128.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
2,0.104,MIC4x,pH5,64.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
2,0.085,MIC2x,pH5,32.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
2,0.110,MIC1x,pH5,16.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
2,0.143,MIC0.5x,pH5,8.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
2,0.249,MIC0x,pH5,0.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
3,0.069,MIC8x,pH7,128.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
3,0.075,MIC4x,pH7,64.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
3,0.078,MIC2x,pH7,32.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
3,0.072,MIC1x,pH7,16.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
3,0.086,MIC0.5x,pH7,8.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
3,0.170,MIC0x,pH7,0.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
4,0.068,MIC8x,pH7,128.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
4,0.074,MIC4x,pH7,64.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
4,0.078,MIC2x,pH7,32.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
4,0.078,MIC1x,pH7,16.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
4,0.089,MIC0.5x,pH7,8.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
4,0.193,MIC0x,pH7,0.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
5,0.068,MIC8x,pH7,128.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
5,0.075,MIC4x,pH7,64.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
5,0.078,MIC2x,pH7,32.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
5,0.083,MIC1x,pH7,16.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
5,0.086,MIC0.5x,pH7,8.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
5,0.203,MIC0x,pH7,0.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
6,0.065,MIC8x,pH9,128.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
6,0.065,MIC4x,pH9,64.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
6,0.071,MIC2x,pH9,32.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
6,0.114,MIC1x,pH9,16.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
6,0.129,MIC0.5x,pH9,8.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
6,0.173,MIC0x,pH9,0.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
7,0.074,MIC8x,pH9,128.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
7,0.064,MIC4x,pH9,64.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
7,0.076,MIC2x,pH9,32.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
7,0.089,MIC1x,pH9,16.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
7,0.094,MIC0.5x,pH9,8.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
7,0.177,MIC0x,pH9,0.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
8,0.064,MIC8x,pH9,128.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
8,0.066,MIC4x,pH9,64.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
8,0.067,MIC2x,pH9,32.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
8,0.078,MIC1x,pH9,16.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
8,0.086,MIC0.5x,pH9,8.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
8,0.158,MIC0x,pH9,0.0,eryka,FLR19,24hr,lexofloxacin,2percent,090619,16
