,OD,ConcFormat,pH,Concentration,Person,Strain,Incubation,Antibiotic,Oxygen,ExperimentDate,PredetMIC
0,0.169,MIC8x,pH5,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
0,0.187,MIC4x,pH5,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
0,0.173,MIC2x,pH5,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
0,0.252,MIC1x,pH5,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
0,0.241,MIC0.5x,pH5,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
0,0.315,MIC0x,pH5,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
1,0.166,MIC8x,pH5,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
1,0.165,MIC4x,pH5,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
1,0.163,MIC2x,pH5,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
1,0.218,MIC1x,pH5,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
1,0.262,MIC0.5x,pH5,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
1,0.289,MIC0x,pH5,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
2,0.168,MIC8x,pH5,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
2,0.168,MIC4x,pH5,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
2,0.159,MIC2x,pH5,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
2,0.218,MIC1x,pH5,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
2,0.266,MIC0.5x,pH5,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
2,0.321,MIC0x,pH5,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
3,0.135,MIC8x,pH7,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
3,0.131,MIC4x,pH7,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
3,0.122,MIC2x,pH7,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
3,0.202,MIC1x,pH7,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
3,0.331,MIC0.5x,pH7,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
3,0.476,MIC0x,pH7,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
4,0.121,MIC8x,pH7,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
4,0.142,MIC4x,pH7,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
4,0.124,MIC2x,pH7,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
4,0.213,MIC1x,pH7,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
4,0.362,MIC0.5x,pH7,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
4,0.465,MIC0x,pH7,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
5,0.139,MIC8x,pH7,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
5,0.136,MIC4x,pH7,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
5,0.124,MIC2x,pH7,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
5,0.213,MIC1x,pH7,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
5,0.353,MIC0.5x,pH7,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
5,0.471,MIC0x,pH7,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
6,0.084,MIC8x,pH9,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
6,0.109,MIC4x,pH9,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
6,0.122,MIC2x,pH9,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
6,0.126,MIC1x,pH9,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
6,0.155,MIC0.5x,pH9,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
6,0.349,MIC0x,pH9,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
7,0.108,MIC8x,pH9,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
7,0.129,MIC4x,pH9,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
7,0.136,MIC2x,pH9,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
7,0.192,MIC1x,pH9,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
7,0.156,MIC0.5x,pH9,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
7,0.351,MIC0x,pH9,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
8,0.109,MIC8x,pH9,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
8,0.145,MIC4x,pH9,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
8,0.146,MIC2x,pH9,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
8,0.172,MIC1x,pH9,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
8,0.177,MIC0.5x,pH9,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
8,0.343,MIC0x,pH9,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091819,2
